date,home_team,away_team,home_score,away_score,tournament,city,country,id,home_result,away_result
2016-11-15,Syria,IR Iran,0.0,0.0,FIFA World Cup qualification,Paroi,Malaysia,37320,draw,draw
2016-11-15,Thailand,Australia,2.0,2.0,FIFA World Cup qualification,Bangkok,Thailand,37321,draw,draw
2016-11-15,Tunisia,Mauritania,0.0,0.0,Friendly,Gab̬s,Tunisia,37322,draw,draw
2016-11-15,Ukraine,Serbia,2.0,0.0,Friendly,Kharkiv,Ukraine,37323,win,loss
2016-11-15,United Arab Emirates,Iraq,2.0,0.0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,37324,win,loss
2016-11-19,Philippines,Singapore,0.0,0.0,AFF Championship,Bocaue,Philippines,37325,draw,draw
2016-11-19,St Kitts and Nevis,Estonia,1.0,1.0,Friendly,Basseterre,St Kitts and Nevis,37326,draw,draw
2016-11-19,Thailand,Indonesia,4.0,2.0,AFF Championship,Bocaue,Philippines,37327,win,loss
2016-11-20,Myanmar,Vietnam,1.0,2.0,AFF Championship,Yangon,Myanmar,37328,loss,win
2016-11-20,Malaysia,Cambodia,3.0,2.0,AFF Championship,Yangon,Myanmar,37329,win,loss
2016-11-22,Antigua and Barbuda,Estonia,0.0,1.0,Friendly,St. John's,Antigua and Barbuda,37330,loss,win
2016-11-22,Philippines,Indonesia,2.0,2.0,AFF Championship,Bocaue,Philippines,37331,draw,draw
2016-11-22,Thailand,Singapore,1.0,0.0,AFF Championship,Bocaue,Philippines,37332,win,loss
2016-11-23,Myanmar,Cambodia,3.0,1.0,AFF Championship,Yangon,Myanmar,37333,win,loss
2016-11-23,Malaysia,Vietnam,0.0,1.0,AFF Championship,Yangon,Myanmar,37334,loss,win
2016-11-25,Philippines,Thailand,0.0,1.0,AFF Championship,Bocaue,Philippines,37335,loss,win
2016-11-25,Singapore,Indonesia,1.0,2.0,AFF Championship,Manila,Philippines,37336,loss,win
2016-11-26,Myanmar,Malaysia,1.0,0.0,AFF Championship,Yangon,Myanmar,37337,win,loss
2016-11-26,Vietnam,Cambodia,2.0,1.0,AFF Championship,Naypyidaw,Myanmar,37338,win,loss
2016-12-03,Indonesia,Vietnam,2.0,1.0,AFF Championship,Bogor,Indonesia,37339,win,loss
2016-12-04,Myanmar,Thailand,0.0,2.0,AFF Championship,Yangon,Myanmar,37340,loss,win
2016-12-07,Vietnam,Indonesia,2.0,2.0,AFF Championship,Hanoi,Vietnam,37341,draw,draw
2016-12-08,Thailand,Myanmar,4.0,0.0,AFF Championship,Bangkok,Thailand,37342,win,loss
2016-12-14,Indonesia,Thailand,2.0,1.0,AFF Championship,Bogor,Indonesia,37343,win,loss
2016-12-17,Thailand,Indonesia,2.0,0.0,AFF Championship,Bangkok,Thailand,37344,win,loss
2016-12-26,Cote d'Ivoire,Zimbabwe,0.0,0.0,Friendly,Abidjan,Cote d'Ivoire,37345,draw,draw
2016-12-27,Nicaragua,Trinidad and Tobago,2.0,1.0,Friendly,Managua,Nicaragua,37346,win,loss
2016-12-30,Nicaragua,Trinidad and Tobago,1.0,3.0,Friendly,Managua,Nicaragua,37347,loss,win
2017-01-04,Trinidad and Tobago,Suriname,1.0,2.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,37348,loss,win
2017-01-04,Tunisia,Uganda,2.0,0.0,Friendly,Tunis,Tunisia,37349,win,loss
2017-01-05,Cameroon,Congo DR,2.0,0.0,Friendly,Yaound̩,Cameroon,37350,win,loss
2017-01-06,Suriname,Haiti,2.0,4.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,37351,loss,win
2017-01-07,Algeria,Mauritania,3.0,1.0,Friendly,Blida,Algeria,37352,win,loss
2017-01-07,Burkina Faso,Mali,2.0,1.0,Friendly,Marrakech,Morocco,37353,win,loss
2017-01-08,Egypt,Tunisia,1.0,0.0,Friendly,Cairo,Egypt,37354,win,loss
2017-01-08,Cote d'Ivoire,Sweden,2.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,37355,win,loss
2017-01-08,Libya,Senegal,1.0,2.0,Friendly,Brazzaville,Congo,37356,loss,win
2017-01-08,Trinidad and Tobago,Haiti,3.0,4.0,CFU Caribbean Cup qualification,Couva,Trinidad and Tobago,37357,loss,win
2017-01-09,Morocco,Finland,0.0,1.0,Friendly,Al Ain,United Arab Emirates,37358,loss,win
2017-01-10,Algeria,Mauritania,6.0,0.0,Friendly,Sidi Moussa,Algeria,37359,win,loss
2017-01-10,Cameroon,Zimbabwe,1.0,1.0,Friendly,Yaound̩,Cameroon,37360,draw,draw
2017-01-10,China PR,Iceland,0.0,2.0,Friendly,Nanning,China PR,37361,loss,win
2017-01-11,Chile,Croatia,1.0,1.0,Friendly,Nanning,China PR,37362,draw,draw
2017-01-11,Congo,Senegal,0.0,2.0,Friendly,Brazzaville,Congo,37363,loss,win
2017-01-11,Cote d'Ivoire,Uganda,3.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,37364,win,loss
2017-01-13,Honduras,Nicaragua,2.0,1.0,UNCAF Cup,Panama City,Panama,37365,win,loss
2017-01-14,Burkina Faso,Cameroon,1.0,1.0,African Cup of Nations,Libreville,Gabon,37366,draw,draw
2017-01-14,Cambodia,Saudi Arabia,2.0,7.0,Friendly,Abu Dhabi,United Arab Emirates,37367,loss,win
2017-01-14,China PR,Croatia,1.0,1.0,Friendly,Nanning,China PR,37368,draw,draw
2017-01-14,Gabon,Guinea-Bissau,1.0,1.0,African Cup of Nations,Libreville,Gabon,37369,draw,draw
2017-01-15,Algeria,Zimbabwe,2.0,2.0,African Cup of Nations,Franceville,Gabon,37370,draw,draw
2017-01-15,Belize,Costa Rica,0.0,3.0,UNCAF Cup,Panama City,Panama,37371,loss,win
2017-01-15,El Salvador,Honduras,1.0,2.0,UNCAF Cup,Panama City,Panama,37372,loss,win
2017-01-15,Iceland,Chile,0.0,1.0,Friendly,Nanning,China PR,37373,loss,win
2017-01-15,Tunisia,Senegal,0.0,2.0,African Cup of Nations,Franceville,Gabon,37374,loss,win
2017-01-16,Congo DR,Morocco,1.0,0.0,African Cup of Nations,Oyem,Gabon,37375,win,loss
2017-01-16,Cote d'Ivoire,Togo,0.0,0.0,African Cup of Nations,Oyem,Gabon,37376,draw,draw
2017-01-17,El Salvador,Belize,3.0,1.0,UNCAF Cup,Panama City,Panama,37377,win,loss
2017-01-17,Ghana,Uganda,1.0,0.0,African Cup of Nations,Port-Gentil,Gabon,37378,win,loss
2017-01-17,Mali,Egypt,0.0,0.0,African Cup of Nations,Port-Gentil,Gabon,37379,draw,draw
2017-01-17,Qatar,Moldova,1.0,1.0,Friendly,Doha,Qatar,37380,draw,draw
2017-01-18,Cameroon,Guinea-Bissau,2.0,1.0,African Cup of Nations,Libreville,Gabon,37381,win,loss
